Sample Number,Site ID,Target,"UTM East
NAD83_U10","UTM North
NAD83_U10",Sample Type,Standard Type,Date_Sampled,Sampler,Moisture,Angularity,Depth_cm,Horizon,Color,Site Vegetation,Texture,Description,Parent Sample Number
178954,NWZ016,WEST,677447,5502601,REG,,06/18/2023,JA,Damp,Sub-angular,15,B Horizon,lt brown,Forest,Sandy Silt,,
178955,NWZ017,WEST,677513,5502600,REG,,06/18/2023,JA,Damp,Sub-rounded,25,B Horizon,lt brown,Forest,Sandy Silt,Sample taken ENE of swamp.,
178956,NWZ018,WEST,677550,5502598,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Sandy Silt,,
178957,NWZ019,WEST,677601,5502594,REG,,06/18/2023,JA,Damp,Sub-rounded,40,B Horizon,brown,Forest,Silty Sand,"Thick layer of top soil, mostly B horizon but had some A horizon mixed in.",
178958,NWZ020,WEST,677652,5502599,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
178959,NWZ021,WEST,677700,5502601,REG,,06/18/2023,JA,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
178960,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
178961,NWZ022,WEST,677750,5502599,REG,,06/25/2023,JA,Damp,Sub-angular,10,B Horizon,brown,Forest,Sandy Silt,,
178962,NWZ023,WEST,677800,5502603,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
178963,NWZ092,WEST,677797,5503200,REG,,06/18/2023,JA,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,Beside an old trail.,
178964,NWZ091,WEST,677750,5503202,REG,,06/18/2023,JA,Dry,Sub-angular,20,B Horizon,lt brown,Forest,Sandy Silt,NE side of the road.,
178965,NWZ090,WEST,677699,5503203,REG,,06/18/2023,JA,Dry,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
178966,NWZ089,WEST,677650,5503200,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
178967,NWZ088,WEST,677597,5503202,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,,
178968,NWZ087,WEST,677547,5503203,REG,,06/18/2023,JA,Damp,Sub-rounded,20,B Horizon,brown,Forest,Sandy Silt,,
178969,NWZ086,WEST,677498,5503202,REG,,06/18/2023,JA,Damp,Sub-rounded,15,B Horizon,brown,Forest,,,
178970,NWZ086,,,,DUP,,06/18/2023,,,,,,,,,,178969
178971,NWZ163,WEST,676697,5504201,REG,,06/18/2023,EG,Moist,Sub-angular,25,B Horizon,brown,Forest,,Texture: sandy silt,
178972,NWZ164,WEST,676800,5504200,REG,,06/19/2023,EG,Dry,Sub-rounded,15,B Horizon,lt brown,Forest,,Texture: silty sand,
178973,NWZ165,WEST,676899,5504202,REG,,06/19/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,,Texture: silty sand,
178974,NWZ166,WEST,676993,5504197,REG,,06/19/2023,EG,Moist,Sub-rounded,15,B Horizon,lt brown,Forest,,Texture: sandy silt. Sample taken from west side of marsh.,
178975,NWZ168,WEST,677199,5504200,REG,,06/19/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,,Texture: Sandy Silt,
178976,178976,WEST,677300,5504203,REG,,06/19/2023,EG,Dry,Sub-rounded,20,B Horizon,lt brown,Forest,,"Near road, silty sand",
178977,NWZ170,WEST,677398,5504199,REG,,06/19/2023,EG,Dry,Sub-rounded,30,B Horizon,lt brown,Forest,,Silty sand,
178978,NWZ171,WEST,677506,5504201,REG,,06/19/2023,EG,Damp,Angular,20,C Horizon,dk brown,Forest,,"Silty sand, many lithics, on steep slope",
178979,NWZ172,WEST,677601,5504200,REG,,06/19/2023,EG,Damp,Sub-angular,20,B Horizon,lt brown,Forest,,Sandy silt,
178980,,,,,Control,Coarse Blank - Sand,,,,,,,,,,,
178981,NWZ173,WEST,677701,5504203,REG,,06/25/2023,EG,Dry,Sub-rounded,15,B Horizon,Light Brown-Grey,Forest,,Silty sand,
178982,NWZ174,WEST,677802,5504201,REG,,06/19/2023,EG,Dry,Sub-angular,20,B Horizon,Light Brown-Grey,Forest,,Silty sand,
178983,SWA238,SOUTHWEST,676698,5501601,REG,,06/19/2023,EG,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Silty Sand,Near the road.,
178984,SWA239,SOUTHWEST,676751,5501599,REG,,06/20/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Silty Sand,On the east side of the road.,
178985,SWA240,SOUTHWEST,676800,5501600,REG,,06/20/2023,EG,Damp,Sub-angular,15,B Horizon,brown,Forest,Silty Sand,"Sample taken close to the road, on the east side.",
178986,SWA241,SOUTHWEST,676849,5501603,REG,,06/20/2023,EG,Dry,Sub-angular,10,B Horizon,beige,Forest,Silty Sand,,
178987,SWA242,SOUTHWEST,676900,5501598,REG,,06/20/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Sandy Silt,,
178988,SWA243,SOUTHWEST,676955,5501600,REG,,06/20/2023,EG,Damp,Sub-angular,15,B Horizon,lt brown,Forest,Silty Sand,,
178989,SWA244,SOUTHWEST,677002,5501601,REG,,06/20/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Silty Sand,,
178990,SWA244,,,,DUP,,06/20/2023,,,,,,,,,,178989
178991,SWA245,SOUTHWEST,677050,5501600,REG,,06/20/2023,EG,Damp,Sub-rounded,15,B Horizon,lt brown,Forest,Sandy Silt,,
178992,SWA246,SOUTHWEST,677101,5501602,REG,,06/20/2023,EG,Dry,Sub-rounded,10,B Horizon,beige,Forest,Sandy Silt,,
178993,SWA247,SOUTHWEST,677147,5501601,REG,,06/20/2023,EG,Dry,Sub-rounded,10,B Horizon,lt brown,Forest,Silty Sand,,
178994,SWA248,SOUTHWEST,677200,5501596,REG,,06/20/2023,CV,Damp,Sub-rounded,20,B Horizon,lt brown,Forest,Sandy Silt,,
178995,NWA249,SOUTHWEST,677245,5501601,REG,,06/20/2023,CV,Moist,Sub-rounded,15,B Horizon,brown,Forest,Sandy Silt,Many pebbles,
178996,SWA250,SOUTHWEST,677298,5501603,REG,,06/20/2023,CV,Damp,Sub-rounded,30,B Horizon,brown,Forest,Silty Sand,,
178997,SWA251,SOUTHWEST,677365,5501614,REG,,06/20/2023,CV,Moist,Sub-rounded,20,B Horizon,brown,Forest,Pebbly Sand,Taken near road,
178999,SWA252,SOUTHWEST,677397,5501603,REG,,06/20/2023,CV,Damp,Sub-rounded,30,B Horizon,OB,Forest,Sandy Silt,"Near road, sample 178998 does not exist.",
179000,,,,,Control,CDN-GEO-1901,,,,,,,,,,,
239001,Nwz186,WEST,677796,5504399,REG,,06/25/2023,MP,Dry,Sub-angular,10,B Horizon,brown,Forest,Sandy Silt,,
239002,Nwz185,WEST,677703,5504400,REG,,06/19/2023,MP,Dry,Angular,20,B Horizon,brown,Forest,,Silty sand. Rocky near outcrop,
239003,Nwz184,WEST,677601,5504401,REG,,06/19/2023,MP,Dry,Sub-rounded,25,B Horizon,lt brown,Forest,,Silty sand,
239004,Nwz183,WEST,677498,5504397,REG,,06/19/2023,MP,Dry,Sub-rounded,15,B Horizon,lt brown,Forest,,Sandy silt,
239005,Nwz182,WEST,677390,5504400,REG,,06/19/2023,MP,Dry,Sub-rounded,15,B Horizon,lt brown,Forest,,Sandy silt,
239006,Nwz181,WEST,677298,5504400,REG,,06/19/2023,MP,Dry,Sub-rounded,20,B Horizon,lt brown,Forest,,Sandy silt,
